M_G,G-RP,BP-RP
8.18,0.995,2.003
8.181,1.033,2.099
8.181,0.972,1.927
8.184,1.031,2.103
8.186,1.137,2.284
8.187,0.992,1.981
8.187,1.07,2.084
8.188,0.963,1.91
8.19,0.972,1.935
8.19,0.958,1.899
8.19,0.986,1.971
8.192,0.95,1.872
8.194,0.922,1.792
8.196,0.951,1.886
8.198,0.959,1.907
8.199,0.958,1.896
8.199,0.984,1.962
8.203,0.966,1.918
8.204,0.977,1.942
8.205,0.967,1.922
8.209,0.988,1.978
8.209,1.248,2.857
8.214,1.063,2.147
8.215,0.984,1.968
8.215,1.738,1.901
8.215,0.983,1.968
8.217,1.122,2.131
8.217,1.616,2.08
8.218,0.944,1.859
8.22,0.997,2.004
8.222,1.059,2.186
8.223,1.008,2.03
8.226,0.942,1.843
8.229,1.099,1.947
8.23,0.962,1.903
8.23,0.941,1.854
8.234,0.947,1.861
8.234,1.738,1.901
8.234,0.974,1.941
8.235,1.017,2.042
8.236,0.974,1.95
8.239,0.974,1.945
8.245,0.958,1.895
8.246,0.933,1.815
8.246,0.967,1.918
8.248,0.947,1.826
8.25,0.93,1.826
8.251,0.965,1.9
8.251,0.99,1.986
8.251,0.989,1.98
8.252,0.989,1.981
8.253,0.959,1.897
8.254,0.957,1.895
8.254,0.966,1.919
8.255,0.951,1.886
8.256,1.039,2.117
8.256,0.959,1.9
8.265,0.974,1.949
8.268,0.981,1.965
8.27,0.944,1.857
8.271,1.017,2.066
8.274,0.978,1.942
8.274,0.969,1.927
8.274,0.973,1.936
8.275,1.016,2.051
8.276,0.925,1.814
8.277,0.981,1.949
8.282,1.524,1.997
8.282,0.977,1.953
8.284,0.976,1.951
8.284,0.954,1.884
8.285,0.988,1.977
8.285,0.976,1.945
8.286,0.983,1.967
8.286,0.972,1.932
8.287,0.968,1.913
8.288,0.965,1.904
8.288,1.057,2.197
8.29,0.969,1.923
8.293,0.987,1.978
8.295,0.964,1.912
8.295,0.997,2.001
8.295,1.368,1.759
8.297,0.97,1.923
8.297,0.968,1.926
8.297,1.004,2.02
8.298,0.98,1.959
8.3,0.972,1.943
8.301,0.998,2
8.302,1.211,1.692
8.303,1.122,2.039
8.305,0.953,1.856
8.305,0.967,1.92
8.308,0.983,1.966
8.308,1.032,1.977
8.308,1.09,1.881
8.309,0.975,1.95
8.309,0.952,1.881
8.312,0.944,1.859
8.314,0.99,1.984
8.315,0.995,2.002
8.316,0.997,2.014
8.319,0.962,1.907
8.321,0.979,1.949
8.323,0.994,2.001
8.323,1.563,2.027
8.324,1.024,2.079
8.325,0.989,1.978
8.326,0.967,1.928
8.331,0.997,2.005
8.333,0.982,1.967
8.333,0.948,1.872
8.334,0.905,1.742
8.335,0.98,1.959
8.338,0.952,1.882
8.338,0.999,1.994
8.341,0.944,1.85
8.341,0.991,1.989
8.343,1.012,2.053
8.346,0.982,1.955
8.346,0.942,1.859
8.349,0.981,1.955
8.35,0.939,1.853
8.351,1.016,2.04
8.351,1.424,2.056
8.351,1.003,2.026
8.352,0.939,1.837
8.352,1.001,2.004
8.353,0.976,1.935
8.355,1.036,1.902
8.357,0.992,1.98
8.358,1.245,2.062
8.359,1.004,1.97
8.359,0.988,1.984
8.36,0.973,1.937
8.361,0.963,1.9
8.361,0.964,1.902
8.364,1.009,2.043
8.367,1.008,2.044
8.369,1.223,2.705
8.369,0.996,2.005
8.376,0.994,1.997
8.376,0.992,1.992
8.377,0.968,1.915
8.378,0.958,1.893
8.383,0.95,1.88
8.386,1.011,2.025
8.387,0.998,1.999
8.389,1.015,1.976
8.39,0.938,1.839
8.391,1.018,2.064
8.391,1.541,2.032
8.393,0.981,1.959
8.394,0.973,1.944
8.398,0.944,1.77
8.4,0.997,2.01
8.401,1.013,2.056
8.402,0.961,1.9
8.406,0.915,1.78
8.407,1.012,2.045
8.41,1.002,2.016
8.411,0.994,1.964
8.411,1.041,2.125
8.412,0.988,1.974
8.413,1.013,2.052
8.414,1.003,2.019
8.414,1.025,2.075
8.414,1.044,2.147
8.417,1.019,2.051
8.417,1.07,2.145
8.421,1.009,2.039
8.423,0.976,1.935
8.423,0.923,1.802
8.423,0.983,1.97
8.423,0.995,2.004
8.423,1.034,2.097
8.424,1.088,2.265
8.426,0.981,1.967
8.426,1.089,2.162
8.429,0.991,1.985
8.43,0.955,1.878
8.43,1.265,2.088
8.433,1.026,2.086
8.436,1.024,2.083
8.437,0.981,1.97
8.439,1.031,2.088
8.44,0.986,1.975
8.44,1.041,2.136
8.443,0.981,1.912
8.448,0.993,1.996
8.448,0.908,1.76
8.449,0.983,1.974
8.45,0.97,1.931
8.45,1,2.025
8.452,0.942,1.854
8.456,1.24,2.073
8.456,1.021,2.054
8.459,0.991,1.992
8.46,1.174,2.112
8.461,1.041,2.121
8.462,0.999,2.017
8.464,1.02,2.066
8.467,0.989,1.987
8.468,0.982,1.965
8.469,0.978,1.955
8.471,0.978,1.95
8.473,0.975,1.95
8.477,1.007,2.034
8.477,1.016,2.067
8.48,0.998,2.013
8.48,1.019,2.069
8.48,0.998,2.005
8.481,0.844,1.599
8.482,1.252,2.84
8.484,1.033,2.098
8.484,1.028,2.075
8.486,0.985,1.97
8.488,0.988,1.984
8.489,1.004,1.984
8.492,0.994,1.988
8.494,1.006,2.029
8.495,0.997,2.008
8.497,1.896,2.071
8.498,1.021,2.069
8.508,0.96,1.903
8.508,0.972,1.941
8.51,0.978,1.942
8.513,0.991,1.988
8.515,0.994,2.004
8.516,1.036,2.101
8.516,1.078,2.248
8.525,0.981,1.956
8.526,0.975,1.932
8.528,1.022,2.078
8.528,1.02,2.074
8.529,0.915,1.777
8.533,0.992,1.997
8.533,1.148,2.325
8.534,0.961,1.907
8.536,0.989,1.973
8.536,1.007,2.022
8.537,1.026,2.098
8.548,0.97,1.932
8.548,1.02,2.077
8.551,1,2.016
8.552,0.988,1.982
8.555,1.007,2.027
8.558,1.033,2.111
8.569,0.987,1.979
8.57,1.418,2
8.571,0.991,1.988
8.572,0.933,1.83
8.573,0.995,2.003
8.575,0.946,1.861
8.575,1.013,2.056
8.58,0.978,1.958
8.581,1.153,1.288
8.582,1.016,2.057
8.584,1.11,2.337
8.584,1.004,2.023
8.587,1.023,2.083
8.588,1.063,2.203
8.589,0.995,1.996
8.593,1.053,2.147
8.595,1.03,2.106
8.596,0.999,2.004
8.599,0.948,1.878
8.603,1.094,2.273
8.61,1.034,2.12
8.61,0.996,1.991
8.614,1.02,2.076
8.614,0.991,1.99
8.615,0.983,1.954
8.631,0.983,1.954
8.635,1.028,2.101
8.639,1.023,2.083
8.642,1.019,2.073
8.643,1.002,2.019
8.645,1.051,2.138
8.647,1.009,2.042
8.648,1.206,2.545
8.649,0.993,1.994
8.654,1.06,2.194
8.659,0.972,1.942
8.66,1.067,2.204
8.665,1.418,2
8.666,1.042,2.066
8.668,1.003,2.021
8.669,1.051,2.138
8.674,0.989,1.988
8.675,1.016,2.059
8.68,1.011,2.048
8.683,1.039,2.137
8.687,1.03,2.109
8.687,0.991,1.975
8.696,1.315,2.049
8.696,1.036,2.124
8.698,0.969,1.928
8.699,1.041,2.141
8.703,0.991,1.975
8.707,0.962,1.883
8.712,1.064,2.212
8.716,0.985,1.884
8.719,1.039,2.128
8.72,1.954,2.085
8.73,1.031,2.115
8.733,0.972,1.935
8.736,1.054,2.186
8.736,1.025,2.093
8.737,1.057,2.19
8.742,1.063,2.196
8.743,1.043,2.132
8.743,1.022,2.067
8.745,1.015,2.065
8.745,1.293,2.875
8.752,1.034,2.114
8.753,1.108,2.099
8.754,0.987,1.973
8.755,-0.079,-0.192
8.764,1.03,2.105
8.764,1.035,2.114
8.769,1.013,2.059
8.772,0.985,1.971
8.775,1.005,2.029
8.775,0.973,1.942
8.776,1.034,2.114
8.777,1.091,2.303
8.777,1.428,2.225
8.778,1.082,2.247
8.784,1.058,2.197
8.79,1.007,2.043
8.793,1.034,2.098
8.793,1.224,1.914
8.799,1.061,2.195
8.8,1.002,2.034
8.802,1.067,2.221
8.802,0.966,1.915
8.803,1.066,2.187
8.803,0.998,2.005
8.806,1.086,2.252
8.811,1.029,2.107
8.811,0.993,2.002
8.812,1.072,2.179
8.82,1.022,2.072
8.821,1.98,2.039
