Type,Teff,log g,M/Mo,Mbol,BC,U,B,V,R,I,2MASS_J,2MASS_H,2MASS_Ks,MKO_Y,MKO_J,MKO_H,MKO_K,W1,W2,W3,W4,S3.6,S4.5,S5.8,S8.0,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z,PS1_g,PS1_r,PS1_i,PS1_z,PS1_y,G2,G2_BP,G2_RP,G3,G3_BP,G3_RP,FUV,NUV,Age
DB,130000,8.5,0.99,1.388,-7.483,7.12,8.492,8.871,9.039,9.257,9.705,9.839,9.946,9.583,9.685,9.809,9.924,10.003,10.032,10.021,9.953,10.011,10.03,10.041,10.039,7.962,8.518,9.112,9.522,9.889,8.594,9.118,9.533,9.836,10.058,8.791,8.5,9.167,8.798,8.596,9.195,6.302,7.058,0.00E+00
DB,140000,8.5,0.997,1.06,-7.681,6.99,8.363,8.741,8.908,9.125,9.568,9.7,9.804,9.447,9.548,9.67,9.782,9.856,9.879,9.855,9.788,9.862,9.877,9.884,9.877,7.833,8.389,8.981,9.391,9.756,8.464,8.987,9.402,9.703,9.923,8.66,8.37,9.035,8.667,8.466,9.063,6.16,6.922,0.00E+00
DB,150000,8.5,1.003,0.754,-7.88,6.884,8.256,8.634,8.8,9.016,9.456,9.586,9.688,9.336,9.435,9.556,9.666,9.735,9.755,9.725,9.664,9.741,9.753,9.757,9.747,7.727,8.282,8.873,9.282,9.646,8.357,8.879,9.293,9.593,9.813,8.553,8.263,8.926,8.56,8.359,8.954,6.046,6.812,0.00E+00
DB,3250,9,1.186,18.464,-1.155,21.768,21.092,19.619,18.674,17.769,16.754,16.255,16.004,17.161,16.705,16.245,15.971,16.216,16.669,16.647,16.172,16.307,16.644,16.816,16.806,22.611,20.426,19.041,18.391,17.998,20.207,19.021,18.377,18.047,17.868,18.883,19.814,17.961,18.908,19.822,17.968,36.461,27.537,6.40E+09
DB,3500,9,1.186,18.142,-0.914,20.904,20.386,19.056,18.207,17.384,16.49,16.046,15.84,16.851,16.442,16.035,15.809,16.073,16.495,16.463,15.991,16.159,16.471,16.629,16.614,21.748,19.78,18.543,17.977,17.646,19.584,18.526,17.965,17.685,17.539,18.43,19.253,17.562,18.453,19.263,17.571,34.45,26.276,6.31E+09
DB,3750,9,1.186,17.842,-0.716,20.133,19.758,18.558,17.794,17.047,16.261,15.867,15.703,16.582,16.215,15.854,15.674,15.91,16.249,16.208,15.732,15.977,16.228,16.368,16.352,20.975,19.205,18.103,17.614,17.338,19.029,18.089,17.604,17.37,17.253,18.024,18.752,17.211,18.046,18.763,17.221,32.673,25.152,6.19E+09
DB,4000,9,1.186,17.562,-0.559,19.461,19.209,18.121,17.43,16.749,16.056,15.706,15.567,16.343,16.012,15.692,15.539,15.723,15.989,15.929,15.455,15.773,15.972,16.087,16.068,20.3,18.702,17.717,17.293,17.065,18.544,17.706,17.285,17.09,16.999,17.662,18.309,16.899,17.683,18.322,16.91,31.1,24.162,6.07E+09
DB,4250,9,1.186,17.298,-0.422,18.827,18.696,17.721,17.102,16.489,15.884,15.572,15.456,16.139,15.842,15.557,15.429,15.607,15.814,15.718,15.26,15.651,15.802,15.881,15.854,19.664,18.234,17.368,17.01,16.83,18.094,17.359,17.003,16.848,16.781,17.332,17.898,16.625,17.352,17.914,16.637,29.649,23.231,5.96E+09
DB,4500,9,1.186,17.05,-0.327,18.29,18.26,17.377,16.816,16.257,15.726,15.445,15.337,15.954,15.685,15.429,15.309,15.426,15.583,15.483,15.072,15.457,15.573,15.641,15.615,19.125,17.835,17.065,16.761,16.618,17.709,17.058,16.755,16.631,16.585,17.04,17.543,16.381,17.06,17.56,16.394,28.382,22.432,5.86E+09
DB,4750,9,1.186,16.815,-0.253,17.813,17.872,17.069,16.557,16.046,15.578,15.323,15.221,15.783,15.539,15.306,15.192,15.29,15.445,15.342,14.955,15.32,15.435,15.5,15.472,18.647,17.478,16.792,16.534,16.424,17.365,16.786,16.529,16.432,16.403,16.774,17.222,16.159,16.793,17.241,16.173,27.246,21.718,5.75E+09
DB,5000,9,1.186,16.593,-0.198,17.39,17.526,16.791,16.322,15.852,15.441,15.211,15.118,15.625,15.402,15.193,15.09,15.161,15.278,15.159,14.822,15.184,15.27,15.316,15.282,18.222,17.158,16.544,16.326,16.246,17.056,16.54,16.322,16.25,16.236,16.53,16.931,15.955,16.549,16.953,15.97,26.241,21.084,5.64E+09
DB,5250,9,1.186,16.381,-0.155,16.998,17.206,16.536,16.107,15.677,15.319,15.111,15.027,15.483,15.282,15.093,14.998,15.043,15.127,14.998,14.715,15.06,15.122,15.15,15.111,17.83,16.863,16.319,16.138,16.085,16.771,16.315,16.135,16.085,16.086,16.305,16.663,15.77,16.324,16.686,15.786,25.309,20.496,5.51E+09
DB,5500,9,1.186,16.179,-0.126,16.638,16.914,16.304,15.912,15.519,15.208,15.02,14.94,15.356,15.172,15.001,14.911,14.929,14.984,14.854,14.635,14.94,14.98,14.995,14.952,17.47,16.594,16.114,15.969,15.941,16.512,16.111,15.966,15.937,15.951,16.099,16.417,15.603,16.118,16.442,15.619,24.444,19.951,5.34E+09
DB,5750,9,1.186,15.985,-0.109,16.314,16.649,16.094,15.734,15.373,15.104,14.931,14.856,15.236,15.068,14.912,14.826,14.819,14.848,14.727,14.564,14.825,14.846,14.85,14.807,17.144,16.35,15.928,15.813,15.806,16.276,15.926,15.811,15.8,15.825,15.91,16.193,15.449,15.928,16.22,15.466,23.661,19.457,5.11E+09
DB,6000,9,1.186,15.801,-0.1,16.019,16.408,15.901,15.569,15.237,15.005,14.847,14.776,15.124,14.97,14.827,14.747,14.716,14.719,14.607,14.499,14.717,14.718,14.709,14.669,16.85,16.127,15.755,15.667,15.68,16.061,15.754,15.666,15.671,15.707,15.734,15.986,15.306,15.752,16.015,15.323,22.96,19.012,4.81E+09
DB,6250,9,1.186,15.623,-0.098,15.748,16.185,15.721,15.416,15.111,14.913,14.77,14.703,15.02,14.879,14.749,14.673,14.63,14.619,14.525,14.451,14.627,14.619,14.607,14.572,16.578,15.92,15.595,15.532,15.563,15.861,15.595,15.532,15.552,15.597,15.57,15.794,15.172,15.588,15.824,15.19,22.318,18.602,4.48E+09
