Teff,U,B,V,R,I,J,H,K,u,g,r,i,z,G,BP,RP,U-B,B-V,V-R,R-I,J-H,H-K,u-g,g-r,r-i,i-z,V-J,r-J,G-RP,BP-RP,Log g,Mass,Age
9000,11.392,12.147,11.970,11.831,11.705,11.743,11.708,11.708,12.216,11.975,11.967,12.074,12.232,11.921,11.999,11.741,-0.755,0.177,0.139,0.126,0.035,0.000,0.241,0.008,-0.107,-0.158,0.227,0.224,0.180,0.258,7.5,0.333,4.83E+08
9500,11.142,11.936,11.793,11.673,11.567,11.633,11.612,11.623,11.967,11.777,11.805,11.930,12.102,11.749,11.809,11.599,-0.794,0.143,0.120,0.106,0.021,-0.011,0.190,-0.028,-0.125,-0.172,0.160,0.172,0.150,0.210,7.5,0.335,4.21E+08
10000,10.914,11.755,11.655,11.560,11.480,11.572,11.560,11.577,11.739,11.612,11.687,11.835,12.023,11.619,11.655,11.506,-0.841,0.100,0.095,0.080,0.012,-0.017,0.127,-0.075,-0.148,-0.188,0.083,0.115,0.113,0.149,7.5,0.337,3.68E+08
11000,10.526,11.431,11.387,11.325,11.278,11.415,11.424,11.455,11.353,11.309,11.445,11.623,11.834,11.359,11.364,11.297,-0.905,0.044,0.062,0.047,-0.009,-0.031,0.044,-0.136,-0.178,-0.211,-0.028,0.030,0.062,0.067,7.5,0.341,2.84E+08
12000,10.204,11.159,11.158,11.124,11.105,11.278,11.304,11.347,11.032,11.053,11.238,11.442,11.670,11.136,11.117,11.117,-0.955,0.001,0.034,0.019,-0.026,-0.043,-0.021,-0.185,-0.204,-0.228,-0.120,-0.040,0.019,0.000,7.5,0.344,2.21E+08
13000,9.930,10.921,10.955,10.943,10.948,11.153,11.193,11.244,10.760,10.827,11.052,11.278,11.522,10.938,10.899,10.955,-0.991,-0.034,0.012,-0.005,-0.040,-0.051,-0.067,-0.225,-0.226,-0.244,-0.198,-0.101,-0.017,-0.056,7.5,0.347,1.72E+08
14000,9.693,10.709,10.767,10.774,10.800,11.031,11.084,11.143,10.524,10.623,10.880,11.124,11.381,10.755,10.701,10.802,-1.016,-0.058,-0.007,-0.026,-0.053,-0.059,-0.099,-0.257,-0.244,-0.257,-0.264,-0.151,-0.047,-0.101,7.5,0.350,1.36E+08
15000,9.486,10.516,10.590,10.615,10.658,10.911,10.974,11.040,10.318,10.436,10.718,10.977,11.245,10.584,10.518,10.656,-1.030,-0.074,-0.025,-0.043,-0.063,-0.066,-0.118,-0.282,-0.259,-0.268,-0.321,-0.193,-0.072,-0.138,7.5,0.353,1.07E+08
16000,9.304,10.343,10.426,10.466,10.522,10.791,10.864,10.935,10.137,10.264,10.566,10.838,11.114,10.425,10.351,10.518,-1.039,-0.083,-0.040,-0.056,-0.073,-0.071,-0.127,-0.302,-0.272,-0.276,-0.365,-0.225,-0.093,-0.167,7.5,0.356,8.56E+07
17000,9.145,10.189,10.278,10.332,10.400,10.678,10.759,10.834,9.979,10.112,10.430,10.713,10.994,10.283,10.202,10.393,-1.044,-0.089,-0.054,-0.068,-0.081,-0.075,-0.133,-0.318,-0.283,-0.281,-0.400,-0.248,-0.110,-0.191,7.5,0.359,6.91E+07
18000,9.006,10.054,10.151,10.217,10.293,10.577,10.665,10.742,9.840,9.980,10.313,10.604,10.890,10.160,10.072,10.285,-1.048,-0.097,-0.066,-0.076,-0.088,-0.077,-0.140,-0.333,-0.291,-0.286,-0.426,-0.264,-0.125,-0.213,7.5,0.363,5.66E+07
19000,8.883,9.938,10.042,10.118,10.204,10.491,10.585,10.664,9.718,9.866,10.213,10.512,10.802,10.055,9.961,10.194,-1.055,-0.104,-0.076,-0.086,-0.094,-0.079,-0.148,-0.347,-0.299,-0.290,-0.449,-0.278,-0.139,-0.233,7.5,0.366,4.70E+07
20000,8.778,9.841,9.953,10.038,10.131,10.422,10.520,10.599,9.614,9.771,10.131,10.437,10.731,9.968,9.868,10.119,-1.063,-0.112,-0.085,-0.093,-0.098,-0.079,-0.157,-0.360,-0.306,-0.294,-0.469,-0.291,-0.151,-0.251,7.5,0.369,3.95E+07
21000,8.699,9.767,9.886,9.978,10.077,10.371,10.472,10.550,9.536,9.699,10.070,10.381,10.679,9.902,9.799,10.064,-1.068,-0.119,-0.092,-0.099,-0.101,-0.078,-0.163,-0.371,-0.311,-0.298,-0.485,-0.301,-0.162,-0.265,7.5,0.372,3.59E+07
22000,8.654,9.724,9.848,9.942,10.045,10.341,10.441,10.518,9.491,9.658,10.034,10.349,10.647,9.864,9.758,10.031,-1.070,-0.124,-0.094,-0.103,-0.100,-0.077,-0.167,-0.376,-0.315,-0.298,-0.493,-0.307,-0.167,-0.273,7.5,0.376,3.24E+07
