Teff,U,B,V,R,I,J,H,K,u,g,r,i,z,G,BP,RP,U-B,B-V,V-R,R-I,J-H,H-K,u-g,g-r,r-i,i-z,V-J,r-J,G-RP,BP-RP,Log g,Mass,Age
85000.0,4.869,6.202,6.543,6.696,6.89,7.303,7.422,7.519,5.714,6.219,6.773,7.164,7.525,6.522,6.33,6.85,-1.333,-0.341,-0.153,-0.194,-0.119,-0.097,-0.505,-0.554,-0.391,-0.361,-0.76,-0.53,-0.328,-0.52,7.0,0.489,26600.0
90000.0,4.771,6.108,6.452,6.605,6.799,7.214,7.334,7.431,5.616,6.126,6.682,7.074,7.435,6.429,6.237,6.76,-1.337,-0.344,-0.153,-0.194,-0.12,-0.097,-0.51,-0.556,-0.392,-0.361,-0.762,-0.532,-0.331,-0.523,7.0,0.506,29450.0
100000.0,4.582,5.925,6.273,6.427,6.623,7.04,7.16,7.257,5.428,5.945,6.504,6.897,7.259,6.25,6.056,6.583,-1.343,-0.348,-0.154,-0.196,-0.12,-0.097,-0.517,-0.559,-0.393,-0.362,-0.767,-0.536,-0.333,-0.527,7.0,0.543,31680.0
110000.0,4.418,5.765,6.116,6.272,6.469,6.888,7.009,7.107,5.263,5.786,6.348,6.743,7.106,6.092,5.897,6.429,-1.347,-0.351,-0.156,-0.197,-0.121,-0.098,-0.523,-0.562,-0.395,-0.363,-0.772,-0.54,-0.337,-0.532,7.0,0.576,18630.0
120000.0,4.312,5.663,6.018,6.174,6.373,6.794,6.916,7.015,5.157,5.686,6.25,6.646,7.01,5.993,5.796,6.332,-1.351,-0.355,-0.156,-0.199,-0.122,-0.099,-0.529,-0.564,-0.396,-0.364,-0.776,-0.544,-0.339,-0.536,7.0,0.582,8709.0
130000.0,4.17,5.525,5.882,6.039,6.239,6.662,6.785,6.885,5.015,5.548,6.115,6.512,6.877,5.857,5.659,6.198,-1.355,-0.357,-0.157,-0.2,-0.123,-0.1,-0.533,-0.567,-0.397,-0.365,-0.78,-0.547,-0.341,-0.539,7.0,0.613,4535.0
140000.0,4.072,5.43,5.789,5.947,6.149,6.573,6.697,6.798,4.917,5.454,6.023,6.421,6.787,5.764,5.565,6.107,-1.358,-0.359,-0.158,-0.202,-0.124,-0.101,-0.537,-0.569,-0.398,-0.366,-0.784,-0.55,-0.343,-0.542,7.0,0.624,3682.0
1500.0,22.989,20.701,18.337,18.173,19.939,20.005,20.0,21.73,23.992,19.473,18.043,20.188,19.844,18.765,18.767,19.17,2.288,2.364,0.164,-1.766,0.005,-1.73,4.519,1.43,-2.145,0.344,-1.668,-1.962,-0.405,-0.403,7.5,0.317,1.58099999E10
1750.0,22.378,20.244,17.927,17.568,18.752,18.89,19.023,20.288,23.365,19.066,17.474,19.051,18.823,18.174,18.284,18.209,2.134,2.317,0.359,-1.184,-0.133,-1.265,4.299,1.592,-1.577,0.228,-0.963,-1.416,-0.035,0.075,7.5,0.317,1.392E10
2000.0,21.818,19.845,17.608,17.087,17.762,17.941,18.171,19.092,22.784,18.722,17.052,18.098,17.956,17.672,17.915,17.414,1.973,2.237,0.521,-0.675,-0.23,-0.921,4.062,1.67,-1.046,0.142,-0.333,-0.889,0.258,0.501,7.5,0.317,1.23399997E10
2250.0,21.315,19.489,17.346,16.694,16.942,17.159,17.465,18.143,22.264,18.42,16.736,17.309,17.222,17.235,17.626,16.755,1.826,2.143,0.652,-0.248,-0.306,-0.678,3.844,1.684,-0.573,0.087,0.187,-0.423,0.48,0.871,7.5,0.317,1.10200003E10
2500.0,20.853,19.162,17.115,16.366,16.259,16.481,16.839,17.34,21.786,18.144,16.49,16.671,16.597,16.848,17.384,16.207,1.691,2.047,0.749,0.107,-0.358,-0.501,3.642,1.654,-0.181,0.074,0.634,0.009,0.641,1.177,7.5,0.317,1.00499999E10
